text;gender;age;politics
" Partindo do princípio que as pessoas são livres pra fazerem o que quiser e considerando que o casamento entre duas pessoas não afeta a vida ou a liberdade de ninguém, com exceção das pessoas que estão se casando, não vejo motivo para uma resposta diferente de ""sim, com certeza"". Apesar de acreditar que as pessoas são livres, o porte de armas por civis representa um grande perigo à vida dos outros cidadãos e ao equilíbrio da sociedade como um todo. Apesar de haver uma discussão à respeito do período em que um aglomerado de células se torna uma vida, é muito claro que na sociedade atual o aborto existe e é praticado todos os dias por quem tem condições financeiras. A proibição do aborto é uma punição apenas para as mulheres que não tem como pagar um aborto clandestino e está entre uma das cinco maiores causas da morte materna. A pena de morte é uma consequência extremamente perigosa para o julgamento de crimes, pois existem muitos erros de processo e julgamentos na justiça brasileira (assim como em outros países). Se um(a) condenado(a) a esse tipo de pena é descoberto inocente depois, não há volta. Num país como o Brasil, esse tipo de condenação muito provavelmente seria usado como meio para a eliminação de pessoas inocentes que causam algum desconforto ou apresentam perigo a alguém que tem muito poder, situação popularmente conhecida como queima de arquivo. A maconha é um entorpecente como o álcool por exemplo, não causa dependência química forte. Porém existe uma grande indústria do tráfico que lucra muito e das mais diversas formas com a proibição do uso e comércio legal. A legalização traria muitos benefícios ao nosso país. O Brasil possui um sistema educacional de péssima qualidade, principalmente na educação básica, assim como um sistema prisional absurdo de tão ruim. A redução da maioridade penal só serviria para abarrotar ainda mais as penitenciárias, que não contribuem em nada para a transformação do caráter do réu e reinserção dele na sociedade, pelo contrário, piora suas condições de maneira generalizada. Apesar da maioria da população pobre e sem acesso a educação minimamente razoável ser negra, não podemos generalizar na implementação dessa cota. Uma alternativa que contempla a todas as pessoas que não tem/tiveram acesso à educação de mínima qualidade são as cotas sociais, que se baseiam em critérios socioeconômicos para selecionar estudantes, contemplando, desta forma, pessoas negras e não negras nessas condições. Apesar de temos a ilusão de que vivemos em um Estado laico, situações como a isenção fiscal das igrejas nos provam que na prática a religião, especialmente de vertente cristã, interfere muito no nosso país, o que é extremamente errado.";f;a0-23;p3
"A discussão sobre a validade de um casamento homossexual, em minha opinião, extrapola o âmbito social e atinge também o âmbito da fé religiosa. Minhas crenças estão baseadas na infalibilidade da Bíblia, como revelação de Deus para a humanidade. Nas Escrituras Sagradas, o casamento heterossexual é estabelecido como padrão e o casamento homossexual como uma distorção após o pecado do homem. Os padrões estabelecidos por Deus beneficiam a própria humanidade e vão de acordo com o propósito divino. A própria existência da humanidade poderia estar comprometida, caso houvesse apenas uniões homoafetivas em determinados períodos da história, o que não me parece ser algo benéfico e nem um padrão a ser estabelecido. Portanto, o casamento entre pessoas do mesmo sexo não deveria ser válido, pois incentiva o descumprimento dos padrões estabelecidos por Deus para a humanidade. O porte de armas por um cidadão comum poderia ser legítimo em casos de proteção pessoal ou determinadas atividades bastante específicas. Porém, o que vemos, muitas vezes, é a utilização de armas pelos cidadãos comuns em situações banais, como brigas familiares, discussões de trânsito, brigas entre vizinhos, ou até mesmo para suicídios e demonstração de poder. Os casos em que podem ser gerados danos de diversas naturezas superam os casos em que realmente o porte de armas traz algum tipo de benefício. Portanto, não dar o direito a um cidadão comum do porte de armas, talvez seja a melhor opção para prevenir que haja prejuízos à sociedade. O aborto não deveria ser legalizado porque, independentemente de como o feto foi gerado, uma vida foi concebida e não há justificativa plausível para dar fim a uma vida que não tem domínio sobre os meios pela qual foi gerada. Em casos de estupro, por exemplo, o Estado deveria dar todo o suporte médico e psicológico para a gestação saudável do bebê e, também, o suporte pós-parto, disponibilizando os meios para criação ou adoção da criança, uma vez que pode existir um trauma muito grande para a mãe biológica. Além disso, deveria existir um controle e fiscalização maior pelos órgãos competentes, para a eliminação de clínicas clandestinas que realizam abortos ilegais. Dessa forma, as vidas das mães e das crianças seriam preservadas e o melhor acompanhamento possível para ambas as partes seria disponibilizado. O Brasil é mundialmente reconhecido como país onde claramente existe impunidade. Muitas das vezes, cumpre-se parte da pena e recebe-se benefícios por bom comportamento. Muitas das vezes, pessoas tiram a vida de outras por casos banais, cumprem parte da pena e são libertas por já terem ""pagado a dívida"" que lhes são cabíveis, enquanto que a outra pessoa que teve a vida tirada, não pode retornar a viver. Em determinados casos, a pena de morte seria adequada, uma vez que seria a forma mais justa do infrator pagar pelo ato incorreto que teve. Porém, cabe ao Estado julgar e tomar a decisão da aplicação desta pena, analisando de forma minuciosa os fatos, pois qualquer erro de análise poderia condenar um inocente a uma pena irreversível. Portanto, a pena de morte poderia ser instituída no Brasil caso o sistema judiciário fosse aperfeiçoado, para que não houvesse falhas na aplicação dessa pena. O consumo de maconha não deveria ser legalizado, uma vez que é uma droga e pode causar dependência. Mesmo a utilização da maconha em tratamentos medicinais deveria seguir processos rigorosos e controlados, a fim de aproveitar os reais benefícios da planta. Portanto não há benefícios na liberação do consumo. Mesmo o argumento de redução do tráfico de drogas não é válido, uma vez que outras drogas mais pesadas continuariam a ser traficadas. Portanto, dados os malefícios, o consumo da maconha não deveria ser legalizado. A maioridade penal provavelmente deveria ser reduzida para 16 anos, uma vez que tem havido uma transformação social nas últimas décadas. O adolescente de 16 anos de hoje em dia é bem diferente do adolescente de algumas décadas atrás. O acesso a informação tem feito com que haja um desenvolvimento mais rápido do que havia antigamente. Nesse sentido, a capacidade do adolescente em formar opiniões e tomar decisões de forma independente e consciente, o torna responsável pelos seus próprios atos. Porém, em muitos países é necessário que haja uma reforma nas leis judiciárias e no sistema carcerário, uma vez que muitos presídios não comportam presos ou abrigam detentos de forma desnecessária. A redução da maioridade penal pura e simplesmente faria com que o número de presos aumentasse e os presídios ficassem cada vez mais lotados. Portanto, a maioridade penal deveria ser reduzida para 16 anos desde que haja mudanças em conjunto no sistema judiciário e carcerário. Provavelmente as universidades públicas não deveriam ter cotas raciais, uma vez que a reserva de vagas para minorias étnicas não resolve o problema por completo. O ingresso nas universidades públicas é feito através do mérito dos ingressantes na realização das provas dos vestibulares. Se existe a predominância de um determinado grupo étnico na lista de aprovados, provavelmente é porque eles tiveram um acesso maior à educação que lhes permitiu estar mais capacitados. O real problema está, portanto, no acesso à educação e distribuição de renda. Esses deveriam ser os pontos a serem observados. As cotas apenas mascaram a distribuição dos grupos étnicos na lista de egressos, muitas vezes inserindo alunos mal preparados, que, muitas vezes, não conseguirão acompanhar o conteúdo que será oferecido dentro da universidade. Provavelmente as igrejas deveriam ser isentas de impostos já que são entidades de interesse social e sem fins lucrativos, que, muitas vezes, exercem atividades de cunho social que o governo é incapaz de viabilizar para os cidadãos. Além disso, uma vez que normalmente as receitas das igrejas são provenientes de doações de fieis, e não há atividades comerciais envolvidas, a cobrança de impostos poderiam inviabilizar as atividades dessas instituições. Por outro lado, existem líderes de algumas igrejas que se utilizam dessas vantagens tributárias para exercer atividades ilegais, como lavagem de dinheiro, por exemplo. Essas atitudes ilegais devem ser combatidas, porém as isenções tributárias mantidas para estas entidades.";m;a24-30;p45
"A escolha sexual do outro só diz respeito a ele mesmo. Os formatos ditos tradicionais de ""família"" são ultrapassados e não condizem mais com os dias atuais onde a todo tempo se levanta uma bandeira de liberdade. Família é família não importa o formato da mesma. Um bom exemplo do caos da liberação do porte de armas é os Estados Unidos, onde a todo tempo temos notícias de cidadãos comuns cometendo crimes bárbaros. Pode parecer bonita a bandeira de apoio à vida quando se é contra ao aborto, mas e o direito de escolha da mulher? A legalização do aborto diminuiria os casos de óbitos de mulheres em clinicas clandestinas, quem sabe não diminuiria também o número de crianças abandonadas pela mãe e pela sociedade que tanto defendeu seu nascimento, mas se esqueceu de defendê-la após o nascimento. Precisamos de um sistema prisional eficiente, com condições de recuperar infratores. Nosso serviço penal é totalmente falho, sem condições estruturais de julgar e muito mais de recuperar. Precisamos vencer primeiramente esses pontos para refletir em questões mais impactantes como pena de morte. Se por um lado o fato de se liberar maconha ou outras drogas iria expor ainda mais nossos jovens ao seu uso, por outro lado diminuiríamos o poder dos traficantes. Se a lei de redução da maioridade penal fosse aprovada nossos jovens ""menores de idade"" não seriam tão aliciados por criminosos que os usam como escudo para prática de diversos crimes. Outro fato importante é que uma vez que o mesmo fosse responsabilizado por seu crime as chances de recupera-lo seria muito maior. O ingresso à Universidade pública via cotas raciais da mesma forma que proporciona maior oportunidade a uma parte da sociedade que tem cicatrizes profundas causadas pela trajetória histórica , também pode aumentar a lacuna de preconceito racial. Porque não ir direto à raiz do problema que é Educação de qualidade desde a infância. Não faz sentido entidades que movimentam milhões, pregam fotos de humildade e vivem rodeadas muitas vezes de luxo não pagarem impostos. Grande parte do dinheiro arrecadado pelos fieis são usados para tornar cada vez mais grandiosa a ""Empresa Religiosa"" e não revertida para os necessitados.";f;a31-99;p45
A família tradicional é a base de uma sociedade forte, próspera, moralmente limpa e ética. Tais valores são ensinados dentro de um lar e trazem mais felicidade nesta vida. Os filhos só podem ser trazidos ao mundo por homens e mulheres e de nenhuma outra forma. A história tem demonstrado o resultado de todos estes argumentos. O porte de armas deve ser um direito de todo cidadão, para auto defesa e de sua família. Certamente, o porte deve estar devidamente regulamentado e seguir diretrizes que restringem seu uso e estabeleça regras para aqueles que não as respeitarem. O aborto certamente é uma forma de tirar a vida de um ser indefeso, que na maioria das vezes foi concebido conscientemente. Certamente, o aborto pode ser justificado em casos que a gravidez seja consequência de estupro ou incesto, que um médico competente conclua que a vida ou a saúde da mãe esteja em grave risco ou que um médico competente conclua que o feto é portador de defeitos graves que não permitirão que a criança sobreviva após o nascimento. Talvez a pena de morte seja uma forma de instituir ordem em casos muito específicos e moldar as pessoas a viver em uma sociedade que deve respeitar o próximo e ser justa com todos. Obviamente, deve ser tema de diversos debates e diálogos, pois é um caminho muito tênue para também fomentar a injustiça. A maconha é uma droga que causa efeitos irreversíveis nas pessoas. Quaisquer substâncias que possam tirar a pessoa de si, transformar seu caráter e modo de agir, deve ser repudiada. As pessoas com a idade de 16 anos já são responsáveis por todos os seus atos e devem responder por eles na íntegra. Além disso, a justiça deve ser aplicada para todos, principalmente para aqueles prejudicados por menores nessa idade. Essa ideia não descarta a possibilidade de recuperação de uma pessoa condenada aos 16 anos. O modelo de Cotas Raciais é uma maneira de fomentar a própria discriminação, segregação e inferioridade. Cada pessoa, independente de raça, sexo, etc. é capaz por si só de alcançar o mesmo objetivo que outra. Existe outras formas de acabar com a desigualdade e aumentar as oportunidades para os que não tiveram tantas oportunidades. É um tema complexo e isso deve ser tratado desde o berço. Na verdade, diversas organizações poderiam ter isenções fiscais por direito. Não há uma justificativa que possa convencer sobre tal tema, pois talvez isso seja razoável ou não.;m;a31-99;p45
"a legislação não pode se posicionar contra a vontade das pessoas que de qualquer forma já estão praticando uma união, mesmo não estando casadas no papel. Apenas pessoas que possuem razão plausível para possuir porte de armas deveriam ter permissão para isso, devendo ainda possuir diploma de que sabe manipular o equipamento. Se qualquer pessoa puder portar armas sem estar preparada para isso, elas não saberão reagir corretamente contra bandidos, que são especialistas nisso, ou vão utilizar para ""resolver"" problemas triviais de família, vizinhos, trânsito. Pessoas já tem recorrido ao aborto há séculos de forma ilegal, insalubre e colocam a própria vida em risco. A legalização deve ser acompanhada e autorizada por psicólogos, para reduzir as chances de que a pessoa volte a engravidar e querer abortar. acredito que bandidos com longo histórico de infrações graves não serão recuperados pelo sistema prisional. Eles representam perigo á sociedade dentro e fora da cadeia e geram muitas despesas para o país. Infrações pequenas ou réus primários não seriam afetados, então eles ainda tem oportunidade de cumprir a pena e redimir-se com a sociedade. A utilização da planta para a produção de medicamentos em laboratórios com autorização da Anvisa deveriam possuir autorização, porém o consumo recreativo não deveria ser liberado. A sociedade já luta há muito tempo para reduzir o consumo de tabaco, não tem porque facilitar nesse outro. A legalização não vai acabar com o tráfico, pois os cartéis não vão se legalizar (e pagar impostos) e muito menos aceitar que lojas legalizadas roubem a clientela deles. Se hoje o controle antidrogas é falho não é razão para liberar, e sim investir ainda mais no combate e punição dos cartéis. Um indivíduo de 16 anos já tem maturidade suficiente para responder pelos seus atos. Porém concordo que devem ser recolhidos para prisões separadas dos demais, assim como são as cadeias femininas. Faculdades federais deveriam priorizar o ingresso de pessoas de baixa renda e que vivem em situação de carência, independente de sua raça. Hoje no Brasil muitos dos estudantes de faculdades federais estudaram em escolas particulares durante o ensino médio e teriam condições de pagar por um curso em instituição privada, enquanto pessoas que estudaram em escola pública muitas vezes não atingem o ponto de corte de um curso em faculdade federal ou não atendem requisitos de cotas e não tem condições de bancar uma faculdade privada, então acabam não tendo as mesmas oportunidades. Eu acredito que os requisitos para ser aprovado no SISU deveriam ser os mesmos do PROUNI. Quando a igreja produzir ou vender bíblias, terços, etc., isso é caracterizado como comércio e deveria reter impostos como qualquer outra empresa. Doações de fiéis não necessariamente deveriam ser tributados, pois as pessoas que doaram já pagaram impostos (INSS, IR) sobre esse valor. Poderia então existir um portal da transparência semelhante ao que os municípios utilizam para que as pessoas que contribuem saibam para onde o dinheiro está indo e se não concordarem podem parar de contribuir.";m;a24-30;p45
"A liberdade de associação do indivíduo é inalienável. Minha opinião pessoal não deve interferir na vida de duas pessoas pacíficas, independente de cosmovisão. O direito à propriedade é inerente ao ser humano, e não é eticamente defensável tirar esse direito. Argumentos utilitaristas e históricos podem ser feitos de ambos os lados, mas os princípios éticos permanecem superiores. Não possuo conhecimento o bastante, mas creio que a vida não deve ser atacada. A questão é o ponto no qual a vida, objetivamente, surge, o que é uma discussão científica em boa parte. O Estado não possui direito legitimável sobre os indivíduos, muito menos sobre suas vidas. Crimes devem ser punidos, mas o Estado não deve ser detentor deste poder. Seguindo o argumento do porte de armas, os indivíduos possuem direitos inalienáveis, sendo o direito à propriedade uma das maiores bases de uma sociedade ética. O Estado não é detentor legitimo do poder de controle e justiça sobre a população, então não posso afirmar 100% de concordância com esse tema. No entanto, em uma sociedade livre, uma lei de maioridade penal tampouco seria instituída de forma coercitiva, então a punição de um crime por um adolescente é apenas uma conclusão lógica do crime em si, o erro está em entregar todo o sistema e responsabilidade nas mãos do Estado. Não é meu ""local de fala"", mas creio que certos aspectos de dívida histórica devem ser levados em consideração, principalmente quando se trata de atos criminosos que geram consequências nos dias de hoje. Imposto é, objetivamente, roubo. Tributação compulsória é uma contradição em si, vai contra a essência do indivíduo humano e é um crime contra a sociedade.";m;a0-23;p45
"A liberdade e respeito ao exercício da sexualidade, que ao meu ver compreende a liberdade sexual e a liberdade da livre orientação sexual, é um direito resguardado a qualquer cidadão numa sociedade livre, que respeita a dignidade da pessoa e as relações afetivas de cada um. Portanto, o tratamento igualitário se faz independentemente do gênero dos casais formados, sejam heterossexuais ou homossexuais. Não garantir os mesmos direitos do casamento civil as relações homoafetivas, é violar os preceitos de liberdade e igualdade previstos na Constituição Federal, violando diretamente o respeito à dignidade humana Infelizmente ainda vivemos numa sociedade que vive a margem da miséria. O estado não fornece educação, emprego, saúde e segurança adequada, o que nos gera incertezas, insegurança e injustiças. Armar um cidadão comum nesse cenário, é impulsionar a violência, pois armá-lo não garante o preparo pessoal e técnico que se é preciso para portar uma arma de fogo. Tampouco garante a suposta “legítima defesa”, argumento que é defendido para a liberação do porte de armas. Pelo contrário. Diante de todo esse cenário, entendo que o porte de arma é estímulo para praticar atos desproporcionais. Penso que o aborto deveria ser legalizado desde que houvesse estrutura e apoio médico do estado, que seja clínico e psicológico para a mulher, para que seja realizado de maneira segura e legal. A decisão de abortar é subjetiva. Logo, as consequências morais, religiosas e sociais cabe subjetivamente a mulher que optou por essa decisão Não no atual sistema judiciário e prisional que comete diversos erros. A pena de morte não tem correção, após sentença dada e executada não há como retroagir e “corrigi-la"". O uso recreativo, ou seja, o consumo, deveria ser legalizado, pois creio que seria uma forma de tentar reduzir a criminalidade oriunda do tráfico. O Estado controlando a produção e a venda, pode reduzir os traficantes e identificar usuários além de reduzir possíveis danos a quem usa e até mesmo receber impostos Sim! O adolescente de 16 anos já tem discernimento para entender as consequências dos seus atos. Além do mais, poderia ser um meio de reduzir o aliciamento de menores pelo tráfico. As melhores universidades do país são públicas e possuem níveis muito rígidos de provas para que os candidatos ingressem nessas universidades. Com isso, apenas os candidatos que tiveram uma boa formação escolar, que na maioria dos casos são alunos de escolas particulares, que conseguem entrar nas universidades públicas diferentemente da maioria dos candidatos das cotas raciais, que em sua maioria vem de escolas públicas sem qualquer preparo. O que não difere muito de outros alunos que não fazem parte da cota racial. Logo, penso que não deveria existir cota por raça, mas sim cota de categorias sociais. Pois o cotista negro poderia ter a mesma oportunidade do cotista branco que estudaram numa mesma escola pública Igreja é instituição sem fim lucrativo. Contudo, muitas igrejas engordam os bolsos e patrimônio de seus fundadores, pastores e afins sem qualquer prestação de conta ao estado e a sociedade, pois não prestam qualquer serviço social. Vemos que milhares de igrejas são abertas sem qualquer fiscalização seja de cunho social ou econômica. E ainda, sabe-se que o Estado não deve “prestar favores” as religiões para evitar a influência política sobre elas";f;a31-99;p3
A meu ver, não há motivos para barrar o casamento entre pessoas do mesmo sexo. O casamento é a união entre duas pessoas que se amam e que querem dividir uma vida juntos, e toda forma de amor é válida. Na minha opinião, os civis em geral não têm preparo psicológico para lidar com o porte de armas de fogo. Mesmo que a violência teoricamente pudesse diminuir (pois os assaltantes não saberiam quem está portanto arma ou não), mortes em crimes passionais e em brigas de trânsito, desentendimento entre familiares e etc., poderiam acontecer com mais frequência. Sou a favor da legalização do aborto para casos de estupro e doenças específicas dos bebês, por exemplo aqueles que nascem acéfalos. Porém, acredito não ser correto liberar o aborto de todas as formas, pois vidas devem ser preservadas. É melhor não conceber do que findar uma vida. Muito embora a pena de morte seja uma forma de punir severamente um indivíduo por um crime cometido (ainda mais na situação atual do Brasil, em que a violência aumenta e as Instituições muitas vezes entram em descrédito), acho muito forte colocar nas mãos de um juiz a decisão se uma pessoa deve ou não viver. Já foram feitas pesquisas que demonstram que a maconha pode ser usada como erva medicinal para tratamento de algumas doenças. Seria uma forma interessante liberar o uso neste sentido, mas não deliberadamente. Jovens que cometam crimes não devem ser colocados e punidos da mesma forma que adultos. Acredito que os jovens infratores devam ser tratados de forma especial e reeducados, para que possam entender o que fizeram de errado e se desenvolver. Se colocados junto aos adultos, é possível que aprendam mais sobre o que é errado. Acredito que as cotas raciais apenas reforçam a segregação. Estou de acordo com cotas sociais, pois não é justa a competição entre estudantes de escolas particulares com de escolas públicas no vestibulares, porém negros não são diferentes de brancos quando em um processo de seleção. Neste caso, o que diferencia é a nota, e por isso cotas sociais são mais coerentes. Não tenho uma opinião muito bem formada sobre isso, mas acredito que Igrejas sejam Instituições sem fim lucrativo e, portanto, teoricamente não precisariam pagar impostos aos governos. O valor arrecadado deve ser convertido à ajuda aos pobres e mais necessitados.;f;a0-23;p45
A opção sexual das pessoas não deveria alterar os direitos das mesmas, logo o casamento deve um direito de todos sem discriminar opção sexual As armas devem ser de uso exclusivo das autoridades, na atualidade as pessoas estão cada vez mais intolerantes, o porte de armas para todos pode acarretar em tragédias de larga escala. Existem algumas situações em que o aborto se torna necessário e deve ser escolha exclusiva da mãe. De forma controlada com o acompanhamento de psicólogos para ajudar na decisão finais destas mães o aborto poderia ser legalizado. Vemos cada vez mais pessoas jovens não somente roubando, mas matando pessoas inocentes por motivos tão irrelevantes como um celular. Acho que aplicar penas mais duras em casos que envolvem a morte de inocentes pode diminuir os índices de latrocínio, por exemplo A legalização da maconha pode diminuir o tráfico de drogas, que por sua vez pode acabar dinheiro destinado para organizações criminosas Vemos cada vez mais pessoas jovens não somente roubando, mas matando pessoas inocentes por motivos tão irrelevantes como um celular. Acho que aplicar penas mais duras em casos que envolvem a morte de inocentes pode diminuir os índices de latrocínio, por exemplo Creio que as cotas raciais para negros e índios são justificáveis pelo nível de acesso que as pessoas destas etnias tem a educação, isso realmente pode tirar muitas chances destes grupos ao acesso de faculdades A igreja recolhe muito dinheiro para ter isenções fiscais. E ainda, não possuem um regime de transparência para suas despesas e gastos;m;a24-30;p12
A proibição deste tema tem um fundamento puramente religioso, o estado sendo laico, não deveria definir leis para impor restrições de religiões sobre todos os cidadãos. Seguir ou não os dogmas de uma religião deve ser um decisão tomada com cada indivíduo. Permitir o porte de armar, iria somente aumentar a complexidade da segurança pública, e não iria resolver o problema. Quem é a favor do porte de armas, parte do ponto de vista que iria aumentar a segurança particular, mas diversas pessoas sem preparação iram tornar a segurança pública mais caótica. Existiram muito mais pessoas sem equilíbrio emocional, e com mas intenção com acesso a armas. A legalização do aborto é um questão de saúde pública, diversas pessoas não têm condições para criar um novo filho(a), abortar seria uma opção para evitar diversos outros problemas. A primeira barreira aqui é a pessoa decidir que precisa fazer isso, pois os motivos que levam a pessoa ao aborto são individuais. A preocupação do Estado seria dar suporte social e psicológico para estas pessoas, e garantir que o procedimento seja feito de maneira segura. A justiça do Brasil é extremamente parcial, somente se você for pobre será condenado, isso é um fato. Pessoas que roubaram um bolacha no mercado, por estarem com fome passam anos na cadeia. Se a pena de morte fosse instituída, somente os pobres teriam a garantia que sobre esta pena. Novamente, isso não iria resolver nenhum problema da nossa sociedade, somente iria aumentar o ego dos juízes . Já foi cientificamente comprovado que a maconha pode ser utilizada de forma medicinal, para alívio da dor e o estresse, como forma de tratamento de diversas doenças e transtornos.  O fundamento da proibição da maconha está no fato de ser uma droga psicotrópica que pode causar dependência. Mas hoje nossas leis já permitem a utilização de  outras drogas, nocivas à saúde e que causam dependência, como o cigarro e o álcool, que são drogas muito mais nocivas do que a maconha. Com a legalização da maconha, além dos benefícios medicinais, será possível a sua industrialização que irá trazes benefícios para o Estado através do pagamento de impostos, e irá tirar uma droga da rota do tráfico. Reduzir a maioridade penal, é uma proposta para tentar resolver problemas causados pelas ausência de políticas públicas para educação e bem estar social. O Estado deveria se preocupar em educar a população. A nossa sociedade é racial, qualquer pessoa, se for parar para pensar tem diversos atos, pensamento e preconceito fundamente no preconceito racial que sempre existiu no Brasil. O Brasil foi organizado desta forma, os círculos sociais ricos são formatos majoritariamente por pessoas brancas, e os círculos sociais mais problemas por pessoas pretas, isso é um fator que mantém o racismo social.  Cotas Raciais, são uma primeira etapa para iniciar uma solução deste problema, pois é possível aumentar a quantidade de pessoas negras entre os círculos sociais formados quase que unicamente por brancos. Isso não vai resolver o problema, mas induzir esta interação é forma de tentar desconstruir este preconceito. O Estado sendo laico não deveria garantir imunidade tributária para templos religiosos de qualquer tipo. Esta ausência de fiscalização abre portas para diversos atos de corrupção, pois é possível utilizar esta porta para realizar lavagem de dinheiro de diversos atos ilícitos. O Estado deveria se preocupar com o bem estar da população, para garantir que a população carente, e emocionalmente instável, não sejam alvos da extorsão realizadas pelas grandes igrejas.;m;a24-30;p12
