,composer,midi_list
0,Alban Berg,-1 -1 -1 ... -1 -1 -1
1,Alexander Scriabin,-1 -1 -1 ... 83 98 98
2,Alexander Scriabin,-1 -1 -1 ... 49 -1 -1
3,Alexander Scriabin," -1  -1  -1  -1  -1  69  64  58  76  78  81  84  -1  72  66  73  -1  76
  -1  78  81  84  72  -1  78  -1  87  -1  -1  66  55  61  73  75  78  81
  69  63  70  73  75  78  81  69  75  84  54  64  73  76  78  81  84  54
  73  76  70  78  81  60  74  70  76  78  84  66  73  78  81  72  76  82
  78  73  76  81  85  88  91  93  96  91  88  85  84  81  76  73  69  69
  64  58  76  78  81  84  72  66  73  76  78  81  84  72  78  87  72  61
  67  79  81  84  87  75  76  69  79  81  84  87  58  68  74  89  85  86
  82  73  58  68  74  89  85  82  73  73  74  73  68  62  77  56  46  80
  85  88  82  52  62  77  82  85  88  83  58  68  74  77  80  85  88  77
  80  83  85  88  89  92  95  97 100  97  95  92  89  88  85  80  77  73
  74  73  68  62  77  56  46  80  85  88  82  52  62  77  68  80  85  83
  58  68  74  77  80  85  88  81  84  87  89  92  93  96  99 101 104 101
  99  96  93  92  89  87  84  81  77  78  77  72  66  60  81  50  84  89
  92  86  52  62  81  68  84  92  86  87  58  66  72  81  84  89  92  81
  84  87  89  92  93  96  99 101 104 101  99  96  93  92  89  87  84  81
  86  56  66  81  72  84  89  92  86  87  72  78  81  84  89  92  89  59
  69  75  84  87  89  92  84  90  65  75  81  84  87  92  95  92  62  72
  78  87  90  92  95  98  93  68  78  84  87  90  95  98  71  95  75  78
  83  93  75  78  83  86  87  90  93  95  93  90  87  86  83  81  78  71
  75  78  83  86  87  90  93  95  98  93  90  87  86  83  78  78  71  72
  75  78  80  84  87  90  92  95  92  87  84  83  80  78  72  68  69  72
  75  77  80  81  84  89  90  93  96  99 101 104  69  64  58  76  78  81
  84  72  66  73  76  78  81  84  72  78  87  66  55  61  73  75  78  81
  69  63  70  73  75  78  81  69  75  84  54  64  73  76  78  81  84  54
  64  73  76  78  84  60  70  74  76  82  84  56  66  75  78  80  83  62
  72  76  78  80  86  58  68  74  77  80  82  85  64  74  80  88  60  70
  79  76  82  84  90  66  76  80  82  90  72  79  84  90  78  80  82  84
  90  84  79  82  85  90  91  94  97  99 102  99  97  94  91  90  87  85
  82  79  75  75  64  70  82  84  87  90  78  72  79  82  84  87  90  78
  84  93  78  73  67  85  87  90  93  81  75  82  85  -1  87  90  93  66
  76  85  88  90  93  96  69  70  69  64  58  52  73  42  76  81  84  78
  48  58  73  76  81  84  79  54  64  70  73  76  81  84  73  76  81  84
  85  88  91  93  96  91  88  85  84  81  79  76  73  69  70  69  64  58
  52  73  42  76  81  84  78  48  58  73  76  78  81  84  79  54  64  70
  73  76  81  84  73  76  81  84  85  88  91  93  96  91  88  85  84  81
  79  76  73  78  48  58  73  76  81  84  79  54  64  73  76  81  84  -1
  73  76  81  84  85  88  91  93  96  91  88  85  84  81  79  73  69  70
  73  78  81  -1  82  85  88  -1  90  93  94"
4,Alexander Scriabin,"-1 -1 -1 -1 -1 80 65 73 57 -1 -1 -1 58 -1 61 -1 58 78 66 49 58 72 49 73
 66 42 78 73 66 56 57 -1 61 57 76 49 61 64 49 69 42 73 66 62 56 57 62 57
 71 47 61 47 62 42 66 64 56 65 75 70 59 67 49 72 59 65 70 49 73 68 42 80
 73 65 57 58 61 58 78 66 49 72 58 49 73 66 42 78 73 66 56 57 61 57 76 49
 61 64 49 69 42 73 62 66 66 56 57 62 57 71 47 66 61 57 62 47 66 62 55 64
 56 70 64 56 71 52 61 78 71 68 64 76 62 83 78 76 68 60 61 64 61 81 69 52
 61 75 52 76 69 45 81 69 61 73 64 76 61 54 74 62 54 42 73 73 66 62 72 63
 82 66 63 80 56 68 60 66 54 77 44 49 75 65 68 53 60 61 73 72 65 73 68 75
 77 78 75 63 75 71 53 54 66 71 75 59 66 54 44 73 54 66 66 44 71 66 70 63
 59 53 54 59 54 44 68 54 44 37 66 56 68 58 66 75 59 49 67 65 59 68 49 75
 69 75 66 70 58 49 42 73 66 49 77 78 73 70 80 82 68 83 80 85 58 76 59 80
 76 80 64 71 76 59 49 78 71 59 49 71 76 68 75 68 64 58 59 64 59 49 73 59
 49 42 71 61 73 63 71 80 64 54 72 70 64 73 54 80 80 71 75 63 54 63 78 54
 77 47 78 80 82 66 85 78 59 74 71 51 75 71 58 85 78 51 83 44 78 59 51 59
 66 82 75 71 66 82 75 71 59 51 59 51 80 75 44 78 75 51 71 75 59 66 71 66
 65 70 61 67 59 68 49 75 65 59 73 65 71 66 63 59 70 56 70 65 61 67 59 68
 49 75 65 59 72 65 75 59 73 49 80 73 65 57 58 61 58 78 66 49 58 72 49 73
 66 42 78 73 66 56 57 61 57 76 49 68 61 64 49 69 42 73 62 66 56 57 62 57
 71 47 61 57 47 62 42 66 64 56 65 75 59 67 49 72 65 59 49 73 68 42 80 73
 65 57 58 61 58 78 66 49 72 58 66 73 54 42 74 74 47 66 54 58 66 70 68 54
 66 59 75 63 66 58 59 67 82 75 67 59 60 63 60 80 68 51 74 66 68 56 75 44
 76 76 49 68 66 56 60 66 72 60 70 56 68 61 77 68 65 60 69 61 87 80 75 64
 65 71 65 85 73 56 79 65 73 80 61 49 81 81 54 71 73 61 65 66 61 82 70 54
 66 74 70 75 60 80 68 56 78 66 78 77 59 75 49 73 59 70 66 65 59 68 49 68
 65 61 58 49 42 49 58 66 63 60 61 78 75 66 80 75 71 56 -1 58 75 75 71 59
 66 49 42 73 71 75 49 71 71 59 63 70 66 58 59 63 59 49 68 42 66 59 49 59
 66 56 68 58 75 66 59 49 65 67 59 68 49 75 69 75 66 70 58 49 42 49 73 72
 58 73 66 75 77 78 66 75 80 75 56 58 75 71 75 71 59 49 42 73 66 71 75 71
 66 71 63 66 70 66 58 59 63 59 49 42 68 66 59 49 59 66 56 68 58 66 75 59
 49 67 59 68 49 75 69 75 70 66 58 49 73 42 49 58 75 67 65 59 68 -1 49 69
 75 66 58 49 42 73 49 58 75 67 59 68 49 75 69 75 70 66 58 49 42 49 58 73
 66 58 49 82 30 -1 -1"
5,Alexander Scriabin,-1 -1 -1 ... -1 -1 -1
6,Alexander Scriabin,-1 -1 -1 ... 61 53 -1
7,Alexander Scriabin,-1 -1 -1 ... -1 -1 -1
8,Alexander Scriabin,-1 -1 -1 ... 23 59 54
9,Alexander Scriabin,"-1 -1 -1 -1 -1 68 63 -1 72 -1 60 52 80 72 75 68 60 62 79 68 74 56 84 79
 46 83 56 62 74 71 68 68 77 63 72 60 52 80 72 75 60 -1 62 -1 79 68 56 74
 79 46 56 79 62 82 79 70 62 89 80 56 87 63 48 84 75 79 79 72 63 67 57 74
 63 51 41 79 72 51 71 63 57 67 74 69 63 69 57 53 79 69 57 69 67 63 67 62
 72 68 -1 56 70 68 46 64 56 79 68 62 77 68 65 68 63 75 72 60 52 80 72 75
 60 62 79 56 79 82 46 56 84 79 74 62 74 72 70 79 74 65 74 62 54 82 74 70
 62 64 70 58 88 84 81 48 86 58 76 64 81 72 64 91 81 60 89 84 81 65 45 81
 84 69 71 81 72 76 66 83 72 60 88 50 60 80 72 76 66 76 83 78 72 72 66 88
 62 78 66 81 78 76 76 71 81 77 65 79 55 75 71 79 77 65 82 77 61 77 75 70
 80 76 64 77 76 54 72 64 78 76 70 76 73 77 84 73 79 67 81 73 61 51 61 82
 73 67 67 77 79 61 77 51 44 89 84 51 83 77 79 67 61 82 77 73 67 -1 77 81
 73 85 77 72 67 73 70 77 72 60 74 54 75 66 54 66 60 60 70 72 54 78 70 72
 48 38 77 70 72 48 70 60 82 72 78 54 74 72 44 54 72 60 72 76 66 77 72 78
 72 50 72 60 66 80 72 78 81 78 77 82 78 66 79 78 56 74 66 80 78 72 78 75
 79 86 75 81 69 83 75 63 53 63 84 75 69 69 87 79 81 63 79 53 46 91 81 86
 53 85 79 63 84 75 69 79 75 87 79 83 74 79 69 75 72 79 68 74 62 68 76 56
 46 68 56 78 74 68 62 62 79 72 56 80 74 50 40 79 72 74 50 72 56 62 84 74
 80 56 83 74 80 46 56 83 80 62 82 74 67 64 82 80 79 79 68 74 65 77 68 74
 68 63 75 72 60 80 52 72 75 60 62 79 68 56 84 79 74 46 56 79 62 74 71 68
 68 77 72 63 75 72 60 52 80 72 75 60 62 79 74 56 84 79 46 82 56 79 74 62
 82 79 70 62 80 56 87 63 48 84 75 79 79 75 63 73 79 69 63 80 57 85 47 75
 57 77 69 73 63 73 80 75 69 63 69 75 57 47 85 79 57 78 69 75 63 78 68 71
 59 76 68 56 47 76 68 40 75 71 47 63 69 78 41 75 51 57 69 69 86 75 69 84
 79 63 83 79 75 57 46 87 83 57 79 71 75 69 72 79 74 68 62 68 56 84 46 74
 78 56 74 62 67 83 75 63 75 55 70 46 75 39 74 67 73 65 72 61 67 55 69 61
 49 70 61 49 71 61 55 55 65 67 45 65 67 39 72 45 67 55 65 61 60 77 70 72
 54 74 70 44 39 75 70 72 44 76 54 60 77 72 54 70 65 64 82 72 78 54 81 72
 63 62 72 77 56 72 74 46 39 74 79 46 78 72 62 56 62 77 72 56 72 76 68 46
 80 39 72 46 72 64 68 62 56 63 71 67 55 70 67 51 57 73 63 55 72 67 46 71
 67 63 58 70 63 67 75 67 70 73 67 65 67 72 55 69 49 70 61 49 71 61 55 55
 65 67 45 73 65 39 45 72 67 55 65 61 60 70 72 54 70 44 39 75 70 44 76 54
 60 77 70 72 54 70 65 64 82 72 78 54 81 78 63 62 80 72 77 56 72 46 84 39
 79 46 78 72 74 62 56 77 62 72 68 56 76 68 72 46 72 39 46 72 64 62 63 71
 67 55 70 67 51 57 73 67 55 67 63 72 46 71 67 63 58 70 67 63 75 79 75 62
 80 72 74 56 79 74 46 84 39 74 46 78 74 62 56 62 77 72 68 56 72 68 46 39
 80 72 46 72 68 64 62 56 63 71 67 55 67 51 57 73 67 55 72 67 46 63 67 70
 58 63 67 75 70 67 67 63 71 67 55 70 67 51 57 73 67 63 55 72 46 71 63 63
 70 57 46 55 73 63 67 63 72 63 71 67 70 63 73 57 63 67 72 63 67 71 63 67
 70 58 63 67 -1 -1 -1 39 46 -1 55 63 70 79"
10,Alexander Scriabin,-1 -1 -1 ... 44 61 53
11,Alexander Scriabin,-1 -1 -1 ... -1 -1 42
12,Alexander Scriabin,-1 -1 -1 ... 29 -1 -1
13,Alexander Scriabin,-1 -1 -1 ... 29 -1 -1
